date,close,open,high,low,volume
2020-09-01T00:00:00+05:30,521.45,521.2,527.65,506.2,13861215.0
2020-09-02T00:00:00+05:30,514.5,523.5,525.6,509.2,9636649.0
2020-09-03T00:00:00+05:30,523.45,518.55,526.85,512.55,10052115.0
2020-09-04T00:00:00+05:30,512.45,518.0,530.4,508.25,12380218.0
2020-09-07T00:00:00+05:30,513.25,516.0,518.2,504.25,6320017.0
2020-09-08T00:00:00+05:30,501.9,512.0,517.65,498.65,8519591.0
2020-09-09T00:00:00+05:30,509.3,497.0,512.8,493.6,10532178.0
2020-09-10T00:00:00+05:30,507.95,512.7,516.7,503.65,8572923.0
2020-09-11T00:00:00+05:30,505.55,507.0,512.35,502.6,5190138.0
2020-09-14T00:00:00+05:30,495.8,505.55,509.0,494.0,8041445.0
2020-09-15T00:00:00+05:30,506.4,498.0,512.4,496.0,11686776.0
2020-09-16T00:00:00+05:30,518.5,510.15,520.0,503.4,10080179.0
2020-09-17T00:00:00+05:30,512.0,516.8,521.9,510.5,9959284.0
2020-09-18T00:00:00+05:30,523.35,517.45,535.0,515.0,25685408.0
2020-09-21T00:00:00+05:30,503.65,523.8,528.25,499.0,9983045.0
2020-09-22T00:00:00+05:30,508.85,509.5,515.0,493.6,9862296.0
2020-09-23T00:00:00+05:30,502.9,520.5,521.0,498.25,10846053.0
2020-09-24T00:00:00+05:30,485.8,497.5,501.25,483.0,8769524.0
2020-09-25T00:00:00+05:30,489.65,496.0,496.0,483.85,9665296.0
2020-09-28T00:00:00+05:30,510.1,495.0,512.0,488.5,12222648.0
2020-09-29T00:00:00+05:30,506.15,517.85,517.85,504.5,8592549.0
2020-09-30T00:00:00+05:30,500.45,508.0,516.2,498.3,12981977.0
2020-10-01T00:00:00+05:30,506.9,505.1,510.5,501.3,6733155.0
2020-10-05T00:00:00+05:30,523.1,507.0,525.1,503.8,8831632.0
2020-10-06T00:00:00+05:30,521.05,526.0,527.6,519.0,8537289.0
2020-10-07T00:00:00+05:30,511.75,516.1,522.9,509.2,8346537.0
2020-10-08T00:00:00+05:30,524.1,514.6,526.0,511.75,9392759.0
2020-10-09T00:00:00+05:30,512.9,525.0,529.3,511.05,11469442.0
2020-10-12T00:00:00+05:30,513.9,514.9,517.35,509.3,7092678.0
2020-10-13T00:00:00+05:30,503.15,514.0,519.95,501.6,8851581.0
2020-10-14T00:00:00+05:30,502.2,503.15,507.5,493.3,7640410.0
2020-10-15T00:00:00+05:30,490.3,504.7,504.7,489.0,6605327.0
2020-10-16T00:00:00+05:30,486.9,491.0,494.75,485.25,9086863.0
2020-10-19T00:00:00+05:30,483.65,489.95,490.9,480.9,5158876.0
2020-10-20T00:00:00+05:30,486.35,484.95,488.55,480.4,5551108.0
2020-10-21T00:00:00+05:30,490.2,489.0,492.2,481.5,7270052.0
2020-10-22T00:00:00+05:30,485.55,491.2,491.4,481.7,6428938.0
2020-10-23T00:00:00+05:30,484.5,488.0,494.5,482.9,6579267.0
2020-10-26T00:00:00+05:30,474.5,487.4,487.4,471.1,6499287.0
2020-10-27T00:00:00+05:30,470.45,474.6,476.75,467.25,7693124.0
2020-10-28T00:00:00+05:30,463.4,473.0,475.75,461.4,7724076.0
2020-10-29T00:00:00+05:30,456.35,463.0,464.0,452.25,8297097.0
2020-10-30T00:00:00+05:30,465.75,458.65,469.0,455.85,8680726.0
2020-11-02T00:00:00+05:30,469.4,467.9,471.0,459.05,7737909.0
2020-11-03T00:00:00+05:30,485.6,472.05,490.6,465.75,16853462.0
2020-11-04T00:00:00+05:30,504.65,499.9,518.25,495.15,48182254.0
2020-11-05T00:00:00+05:30,512.5,508.0,514.0,502.5,14095319.0
2020-11-06T00:00:00+05:30,509.15,515.0,515.75,506.75,9251548.0
2020-11-09T00:00:00+05:30,510.15,512.5,518.0,504.45,9718357.0
2020-11-10T00:00:00+05:30,490.9,511.0,514.25,489.0,12767338.0
2020-11-11T00:00:00+05:30,506.05,495.0,508.35,492.0,11754997.0
2020-11-12T00:00:00+05:30,509.25,503.95,517.7,502.2,10911897.0
2020-11-13T00:00:00+05:30,508.45,511.95,515.8,504.55,9501329.0
2020-11-14T00:00:00+05:30,514.0,511.0,515.5,510.2,1766237.0
2020-11-17T00:00:00+05:30,518.4,517.0,523.4,514.05,12411197.0
2020-11-18T00:00:00+05:30,513.0,514.0,518.35,509.0,6483702.0
2020-11-19T00:00:00+05:30,507.35,512.0,516.15,505.0,6843207.0
2020-11-20T00:00:00+05:30,503.25,510.0,512.5,496.0,7594535.0
2020-11-23T00:00:00+05:30,512.85,504.0,516.4,501.0,8931512.0
2020-11-24T00:00:00+05:30,520.15,513.5,522.75,508.2,9096230.0
2020-11-25T00:00:00+05:30,506.2,521.2,526.0,504.15,10673809.0
2020-11-26T00:00:00+05:30,511.7,506.0,513.0,502.3,7494355.0
2020-11-27T00:00:00+05:30,511.65,514.0,520.8,509.2,12954065.0
2020-12-01T00:00:00+05:30,539.35,518.0,542.75,512.65,25388623.0
2020-12-02T00:00:00+05:30,544.65,540.9,547.0,536.0,14234038.0
2020-12-03T00:00:00+05:30,548.25,550.0,551.45,541.0,9345458.0
2020-12-04T00:00:00+05:30,569.05,550.0,572.9,545.2,16177536.0
2020-12-07T00:00:00+05:30,582.3,570.35,591.5,567.05,21232768.0
2020-12-08T00:00:00+05:30,568.7,582.0,582.0,565.8,10673103.0
2020-12-09T00:00:00+05:30,569.55,571.0,583.95,566.7,11144200.0
2020-12-10T00:00:00+05:30,565.2,570.0,574.75,560.1,6755693.0
2020-12-11T00:00:00+05:30,568.1,567.9,572.95,562.0,6968494.0
2020-12-14T00:00:00+05:30,576.25,568.35,578.65,568.35,8582193.0
2020-12-15T00:00:00+05:30,571.65,575.0,580.0,569.0,5896090.0
2020-12-16T00:00:00+05:30,576.6,571.0,578.5,571.0,5135499.0
2020-12-17T00:00:00+05:30,571.35,579.5,586.3,569.7,9025916.0
2020-12-18T00:00:00+05:30,575.0,574.0,576.9,568.0,4940687.0
2020-12-21T00:00:00+05:30,552.55,573.8,585.9,539.7,12715463.0
2020-12-22T00:00:00+05:30,568.3,553.0,571.1,540.4,8012096.0
2020-12-23T00:00:00+05:30,574.6,570.0,576.55,566.1,4958783.0
2020-12-24T00:00:00+05:30,590.45,574.6,595.0,572.15,7486583.0
2020-12-28T00:00:00+05:30,586.95,599.0,599.45,584.55,12299793.0
2020-12-29T00:00:00+05:30,590.6,589.8,596.0,583.15,7430043.0
2020-12-30T00:00:00+05:30,584.0,595.0,595.0,581.5,5589703.0
2020-12-31T00:00:00+05:30,592.35,584.65,594.9,582.05,8835267.0
2021-01-01T00:00:00+05:30,596.25,592.5,599.75,585.85,8229768.0
2021-01-04T00:00:00+05:30,604.4,600.0,609.45,595.2,11329298.0
2021-01-05T00:00:00+05:30,603.45,608.45,608.7,600.0,7790158.0
2021-01-06T00:00:00+05:30,605.3,604.1,610.95,596.15,6422080.0
2021-01-07T00:00:00+05:30,601.9,606.05,608.0,598.0,4555702.0
2021-01-08T00:00:00+05:30,620.8,607.0,622.8,604.0,11451416.0
2021-01-11T00:00:00+05:30,621.0,623.7,628.0,614.05,7516087.0
2021-01-12T00:00:00+05:30,609.65,621.0,623.9,607.05,6747035.0
2021-01-13T00:00:00+05:30,602.3,611.0,614.5,597.25,6186661.0
2021-01-14T00:00:00+05:30,607.05,602.3,611.65,596.4,6730284.0
2021-01-15T00:00:00+05:30,604.3,609.0,616.8,598.1,8389544.0
2021-01-18T00:00:00+05:30,581.45,604.1,607.35,578.45,7414570.0
2021-01-19T00:00:00+05:30,596.55,586.9,603.0,583.35,5500391.0
2021-01-20T00:00:00+05:30,594.7,601.2,603.6,592.95,5182972.0
2021-01-21T00:00:00+05:30,582.9,598.0,598.75,580.65,4546393.0
2021-01-22T00:00:00+05:30,575.2,582.9,586.95,570.6,5591688.0
2021-01-25T00:00:00+05:30,586.4,577.1,594.0,567.0,8149590.0
2021-01-27T00:00:00+05:30,569.8,585.9,585.9,563.75,8534047.0
2021-01-28T00:00:00+05:30,564.35,554.9,574.5,550.4,9863454.0
2021-01-29T00:00:00+05:30,586.2,568.0,600.0,554.1,22539938.0
2021-02-01T00:00:00+05:30,590.15,596.0,599.4,579.6,12621971.0
2021-02-02T00:00:00+05:30,609.45,596.95,616.9,591.5,15788247.0
2021-02-03T00:00:00+05:30,629.2,612.5,648.4,610.5,23788455.0
2021-02-04T00:00:00+05:30,631.5,632.5,641.0,626.25,7926593.0
2021-02-05T00:00:00+05:30,634.75,633.5,644.25,623.15,10981738.0
2021-02-08T00:00:00+05:30,634.65,640.9,644.85,632.55,6479801.0
2021-02-09T00:00:00+05:30,623.6,631.9,639.25,621.0,5794015.0
2021-02-10T00:00:00+05:30,627.1,623.05,631.55,614.1,6902162.0
2021-02-11T00:00:00+05:30,643.65,622.0,648.75,622.0,11433578.0
2021-02-12T00:00:00+05:30,627.15,654.4,654.4,622.35,15471776.0
2021-02-15T00:00:00+05:30,627.5,632.0,637.3,623.3,7310676.0
2021-02-16T00:00:00+05:30,631.15,631.0,634.5,623.0,6137454.0
2021-02-17T00:00:00+05:30,621.25,628.7,632.4,619.8,4700733.0
2021-02-18T00:00:00+05:30,616.05,622.0,627.25,614.1,5633766.0
